Technique,F1 Score,Accuracy,Balanced Accuracy,Cohen Kappa,ROC-AUC,Time (min),Rank
R2_mixup,0.9173931002358104,0.9122807017543859,0.9043540761564017,0.8789808917197452,0.9730814418957148,3.2,1
R1+R2_combined,0.8620033673714823,0.8596491228070176,0.8479001618536504,0.8057094162760972,0.9699031239298401,1.4,2
T1_threshold_opt,0.8202489499265635,0.8157894736842105,0.7914015248317574,0.7463445645263826,0.9482613407022484,0.0,3
R1_differential_lr,0.8162294936820695,0.8070175438596491,0.806787205043019,0.736471577177682,0.949395006191012,2.0,4
T1+T2_combined,0.8089492286109605,0.8070175438596491,0.7696513757560269,0.732679599232573,0.9389153160221952,0.0,5
R3_warmup,0.8015652073639603,0.7894736842105263,0.8029421160235114,0.7147623019182652,0.9490604009741472,2.2,6
V4_baseline,0.7902760369421014,0.7807017543859649,0.7880164409234177,0.7019140257295262,0.9482613407022484,0.0,7
T2_tta,0.7788689697833856,0.7719298245614035,0.7497348581650908,0.6860502065459168,0.9389153160221952,0.3,8
