Model Name,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time (s),Number of Parameters
efficientnet_b3,0.7636363636363637,0.7993720516243881,0.7636363636363637,0.7731459498234787,0.9157635405722052,477.8502209186554,10703917
densenet121,0.74,0.7855282756251224,0.74,0.7518020371285602,0.9094080439366559,375.25341987609863,6958981
mobilenet_v3_large,0.7363636363636363,0.8058156830999491,0.7363636363636363,0.7472048285133502,0.9072611727263211,368.9189214706421,4208437
resnet50,0.7072727272727273,0.8074819610569166,0.7072727272727273,0.7238074699300884,0.8989246719715199,303.7031207084656,23518277
efficientnet_b0,0.6818181818181818,0.7873162264968342,0.6818181818181818,0.6909646853249761,0.9184694765755319,285.178861618042,4013953
vit_b_16,0.6818181818181818,0.8157009628741376,0.6818181818181818,0.6909404965768603,0.9233942412637941,686.4797630310059,85802501
