Model Name,F1 Score,Accuracy,Balanced Accuracy,Precision,Recall,Cohen Kappa,ROC-AUC,Params (M),Time (min),Rank
efficientnet_v2_s,0.82003925494265,0.8157894736842105,0.7888821449867962,0.8283924787673181,0.8157894736842105,0.7456438589035275,,20.18,1.4,1
efficientnet_b3,0.7708599664536017,0.7543859649122807,0.7861402163727744,0.8290570175438596,0.7543859649122807,0.6718075262183838,,10.7,1.6,2
convnext_tiny,0.7706380921631577,0.7631578947368421,0.7802368174461198,0.818801285906549,0.7631578947368421,0.6807053941908714,,27.82,2.5,3
densenet121,0.7452141794348899,0.7280701754385965,0.7877491694352159,0.8365599183143043,0.7280701754385965,0.6430303030303031,,6.96,1.5,4
swin_t,0.5475248702222387,0.5526315789473685,0.5452231876650482,0.6036534940043713,0.5526315789473685,0.4025280032884595,,27.52,3.7,5
custom_cnn,0.5101503759398497,0.5175438596491229,0.5241161938836358,0.5633192513055213,0.5175438596491229,0.35830518882407125,,5.14,4.4,6
