Variant,F1 Score,Accuracy,Balanced Accuracy,Precision,Recall,Cohen Kappa,ROC-AUC,Params (M),Time (min),Rank
V4_full_finetune,0.7902760369421014,0.7807017543859649,0.7880164409234177,0.8216124794610806,0.7807017543859649,0.7019140257295262,0.9482613407022484,20.18,1.6,1
V5_two_stage,0.7490690951665369,0.7368421052631579,0.7194298918136128,0.79248408377265,0.7368421052631579,0.6442687747035574,0.9318539546959774,20.97,2.0,2
V3_label_smooth,0.6638910724845303,0.6578947368421053,0.6470876991225829,0.689258593458134,0.6578947368421053,0.5340111099465465,0.8557485612753134,0.01,3.3,3
V0_baseline,0.5942205942205943,0.5701754385964912,0.5852383082034245,0.7047794607291176,0.5701754385964912,0.4399438540204532,0.8485773921946101,0.01,4.2,4
V1_deeper_head,0.5430613570964449,0.5350877192982456,0.5779186898372946,0.7313150763086579,0.5350877192982456,0.4052564228762675,0.8615230873953326,0.79,2.7,5
V2_attention_pool,0.37634030728996404,0.38596491228070173,0.39481855353948375,0.4635832004253057,0.38596491228070173,0.20612813370473537,0.7242651128203259,1.31,4.9,6
